Transaction ID,Date,Amount,Account Number,Transaction Type,Suspicious Flag,Daily Transaction Count,Daily Transaction Volume,Monthly Transaction Count,Monthly Transaction Volume,Previous Alert,Geolocation,MCC,Customer Age,Device ID,Transaction Channel,Risk Score
TRX0001,2024-01-12,994.00,9876543210,DRTF,0,1,994.00,1,994.00,1,"35.6762,139.6503",,59,DEV456,ATM,10
TRX0002,2024-01-22,1680.06,3333444455,CUTF,0,1,1680.06,1,1680.06,0,"40.7128,-74.0060",,34,DEV202,Mobile,16
TRX0003,2024-01-23,1574.67,1234567890,NEFT,0,1,1574.67,1,1574.67,0,"34.0522,-118.2437",,63,DEV123,Branch,11
TRX0004,2024-02-18,210.19,5555666677,IMPS,0,1,210.19,1,210.19,0,"51.5074,-0.1278",,58,DEV789,Branch,10
TRX0005,2024-03-17,164.15,5555666677,CRTF,0,1,164.15,1,164.15,0,"40.7128,-74.0060",,36,DEV789,Mobile,10
TRX0006,2024-03-12,1762.97,5555666677,DUTF,0,1,1762.97,2,1927.12,0,"35.6762,139.6503",,33,DEV789,Branch,21
TRX0007,2024-01-23,1852.23,7777888899,DRTF,0,1,1852.23,1,1852.23,1,"51.5074,-0.1278",,59,DEV101,Branch,28
TRX0008,2024-03-17,459.10,7777888899,IMPS,0,1,459.10,1,459.10,1,"35.6762,139.6503",,36,DEV101,ATM,10
TRX0009,2024-01-22,301.07,9876543210,ACH,0,1,301.07,2,1295.07,0,"51.5074,-0.1278",,43,DEV456,Mobile,10
TRX0010,2024-02-03,533.12,5555666677,CUTF,0,1,533.12,2,743.31,0,"34.0522,-118.2437",,26,DEV789,Mobile,10
TRX0011,2024-01-08,582.73,1234567890,CUTF,0,1,582.73,2,2157.40,0,"51.5074,-0.1278",,25,DEV123,Branch,10
TRX0012,2024-01-09,345.36,1234567890,DRTF,0,1,345.36,3,2502.76,0,"35.6762,139.6503",,55,DEV123,Online,10
TRX0013,2024-01-04,9593.45,3333444455,RTGS,1,1,9593.45,2,11273.51,0,"35.6762,139.6503",,34,DEV202,Branch,97
TRX0014,2024-03-14,224.51,8888999900,DRTF,0,1,224.51,1,224.51,1,"34.0522,-118.2437",,52,DEV303,Branch,10
TRX0015,2024-01-13,180.29,1234567890,CRTF,0,1,180.29,4,2683.05,0,"40.7128,-74.0060",,45,DEV123,Online,10
TRX0016,2024-01-28,9816.88,1234567890,SWIFT,1,1,9816.88,5,12499.93,0,"34.0522,-118.2437",,64,DEV123,Branch,99
TRX0017,2024-03-25,66.53,9876543210,DUTF,0,1,66.53,1,66.53,1,"35.6762,139.6503",,53,DEV456,ATM,10
TRX0018,2024-02-26,291.63,7777888899,UPI,0,1,291.63,1,291.63,0,"35.6762,139.6503",,41,DEV101,Branch,10
TRX0019,2024-02-03,2448.17,5555666677,SWIFT,0,2,2981.29,3,3191.48,1,"51.5074,-0.1278",,50,DEV789,Mobile,25
TRX0020,2024-01-04,140.35,8888999900,UPI,0,1,140.35,1,140.35,1,"19.0760,72.8777",,49,DEV303,ATM,10
TRX0021,2024-02-13,262.05,1234567890,CUTF,0,1,262.05,1,262.05,1,"35.6762,139.6503",,31,DEV123,ATM,10
TRX0022,2024-02-20,1126.28,1234567890,NEFT,0,1,1126.28,2,1388.33,1,"35.6762,139.6503",,44,DEV123,ATM,10
TRX0023,2024-02-13,215.32,3333444455,IMPS,0,1,215.32,1,215.32,1,"40.7128,-74.0060",,56,DEV202,Online,10
TRX0024,2024-01-29,1002.51,5555666677,NEFT,0,1,1002.51,1,1002.51,1,"35.6762,139.6503",,56,DEV789,Online,10
TRX0025,2024-02-12,6227.66,5555666677,SWIFT,1,1,6227.66,4,9419.14,1,"34.0522,-118.2437",,55,DEV789,Branch,72
TRX0026,2024-03-26,1119.54,7777888899,NEFT,0,1,1119.54,2,1578.64,1,"34.0522,-118.2437",,42,DEV101,Online,18
TRX0027,2024-01-17,1856.68,7777888899,DUTF,0,1,1856.68,2,3708.91,1,"51.5074,-0.1278",,57,DEV101,Online,17
TRX0028,2024-03-03,1869.47,7777888899,CUTF,0,1,1869.47,3,3448.11,1,"40.7128,-74.0060",,61,DEV101,Online,12
TRX0029,2024-01-06,194.25,8888999900,UPI,0,1,194.25,2,334.60,1,"34.0522,-118.2437",,32,DEV303,Mobile,10
TRX0030,2024-01-19,288.57,9876543210,UPI,0,1,288.57,3,1583.64,0,"19.0760,72.8777",,26,DEV456,Branch,11
TRX0031,2024-02-05,935.95,5555666677,DRTF,0,1,935.95,5,10355.09,1,"51.5074,-0.1278",,51,DEV789,Branch,10
TRX0032,2024-01-26,254.02,8888999900,UPI,0,1,254.02,3,588.62,0,"51.5074,-0.1278",,51,DEV303,ATM,10
TRX0033,2024-01-19,3166.56,7777888899,RTGS,0,1,3166.56,3,6875.47,1,"35.6762,139.6503",,46,DEV101,Branch,37
TRX0034,2024-01-16,1294.70,7777888899,CUTF,0,1,1294.70,4,8170.17,1,"51.5074,-0.1278",,27,DEV101,Branch,11
TRX0035,2024-01-09,1978.82,9876543210,CUTF,0,1,1978.82,4,3562.46,0,"35.6762,139.6503",,58,DEV456,ATM,22
TRX0036,2024-03-06,1831.40,7777888899,RTGS,0,1,1831.40,4,5279.51,0,"34.0522,-118.2437",,48,DEV101,Branch,17
TRX0037,2024-03-30,1709.99,7777888899,DUTF,0,1,1709.99,5,6989.50,1,"35.6762,139.6503",,38,DEV101,Branch,24
TRX0038,2024-02-23,7311.17,8888999900,SWIFT,1,1,7311.17,1,7311.17,1,"34.0522,-118.2437",,46,DEV303,Mobile,72
TRX0039,2024-02-12,791.03,5555666677,CUTF,0,2,7018.69,6,11146.12,1,"51.5074,-0.1278",,57,DEV789,Online,16
TRX0040,2024-01-16,1173.86,8888999900,ACH,0,1,1173.86,4,1762.48,1,"51.5074,-0.1278",,26,DEV303,Mobile,10
TRX0041,2024-02-05,1779.52,1234567890,CRTF,0,1,1779.52,3,3167.85,1,"51.5074,-0.1278",,42,DEV123,Online,20
TRX0042,2024-02-19,840.09,7777888899,DRTF,0,1,840.09,2,1131.72,1,"34.0522,-118.2437",,55,DEV101,Online,16
TRX0043,2024-02-08,851.21,8888999900,DUTF,0,1,851.21,2,8162.38,1,"19.0760,72.8777",,49,DEV303,Branch,10
TRX0044,2024-01-08,299.54,5555666677,IMPS,0,1,299.54,2,1302.05,1,"40.7128,-74.0060",,36,DEV789,Online,10
TRX0045,2024-01-16,174.49,7777888899,UPI,0,2,1469.19,5,8344.66,0,"51.5074,-0.1278",,49,DEV101,ATM,10
TRX0046,2024-02-04,1913.72,9876543210,DUTF,0,1,1913.72,1,1913.72,0,"35.6762,139.6503",,36,DEV456,Branch,16
TRX0047,2024-02-28,86.85,3333444455,IMPS,0,1,86.85,2,302.17,0,"34.0522,-118.2437",,28,DEV202,Mobile,10
TRX0048,2024-02-09,4369.13,1234567890,SWIFT,0,1,4369.13,4,7536.98,0,"34.0522,-118.2437",,53,DEV123,Online,51
TRX0049,2024-02-09,6454.99,9876543210,RTGS,0,1,6454.99,2,8368.71,1,"51.5074,-0.1278",,25,DEV456,Mobile,61
